Date,Apartment_HPI_SA
Jan 2005,100
Feb 2005,101.9
Mar 2005,103.6
Apr 2005,101.6
May 2005,106.8
Jun 2005,102.6
Jul 2005,105.7
Aug 2005,103.2
Sep 2005,101.6
Oct 2005,103.7
Nov 2005,109.2
Dec 2005,104.8
Jan 2006,102.9
Feb 2006,103.9
Mar 2006,104.2
Apr 2006,106.2
May 2006,107.3
Jun 2006,105.1
Jul 2006,103.8
Aug 2006,107.2
Sep 2006,109
Oct 2006,104.7
Nov 2006,103.3
Dec 2006,109.1
Jan 2007,103.5
Feb 2007,107.2
Mar 2007,109.2
Apr 2007,106.7
May 2007,112
Jun 2007,112.4
Jul 2007,113.2
Aug 2007,108.9
Sep 2007,115.7
Oct 2007,112.2
Nov 2007,111.9
Dec 2007,111.1
Jan 2008,113
Feb 2008,116.5
Mar 2008,113.4
Apr 2008,117.1
May 2008,115.9
Jun 2008,118.6
Jul 2008,118.2
Aug 2008,114.7
Sep 2008,115.2
Oct 2008,117
Nov 2008,112.8
Dec 2008,108.6
Jan 2009,113.9
Feb 2009,118.9
Mar 2009,112.1
Apr 2009,109.1
May 2009,115.5
Jun 2009,118.3
Jul 2009,117.5
Aug 2009,121.3
Sep 2009,121.9
Oct 2009,121
Nov 2009,123.2
Dec 2009,123.7
Jan 2010,127.5
Feb 2010,126.9
Mar 2010,128.7
Apr 2010,126.7
May 2010,126.6
Jun 2010,124.3
Jul 2010,126.7
Aug 2010,128.3
Sep 2010,122.8
Oct 2010,121.9
Nov 2010,127.9
Dec 2010,129.4
Jan 2011,124.9
Feb 2011,131.2
Mar 2011,132.1
Apr 2011,131.7
May 2011,137.6
Jun 2011,139
Jul 2011,136.1
Aug 2011,138.3
Sep 2011,134.6
Oct 2011,137.7
Nov 2011,144.3
Dec 2011,130.2
Jan 2012,143.1
Feb 2012,140
Mar 2012,142.1
Apr 2012,141.6
May 2012,143.4
Jun 2012,142.7
Jul 2012,135.7
Aug 2012,142.5
Sep 2012,145.1
Oct 2012,138.5
Nov 2012,139.6
Dec 2012,132.6
Jan 2013,140
Feb 2013,147.7
Mar 2013,147.1
Apr 2013,147.1
May 2013,149.2
Jun 2013,146.7
Jul 2013,138.8
Aug 2013,144.5
Sep 2013,142.7
Oct 2013,147.6
Nov 2013,144.9
Dec 2013,148.6
Jan 2014,145.2
Feb 2014,145
Mar 2014,147.3
Apr 2014,147.1
May 2014,145.5
Jun 2014,145.3
Jul 2014,148.9
Aug 2014,148.1
Sep 2014,144.9
Oct 2014,150.8
Nov 2014,149.5
Dec 2014,139.4
Jan 2015,140.2
Feb 2015,152
Mar 2015,152.9
Apr 2015,153.2
May 2015,150.5
Jun 2015,158.1
Jul 2015,161.8
Aug 2015,155.1
Sep 2015,155.7
Oct 2015,154.7
Nov 2015,160.5
Dec 2015,164.8
Jan 2016,154.4
Feb 2016,166.2
Mar 2016,166.1
Apr 2016,165.4
May 2016,171
Jun 2016,171.1
Jul 2016,169.1
Aug 2016,176.9
Sep 2016,184.4
Oct 2016,188.6
Nov 2016,184.4
Dec 2016,186.3
Jan 2017,192.3
Feb 2017,201.1
Mar 2017,229
Apr 2017,231
May 2017,227.7
Jun 2017,221.4
Jul 2017,225.3
Aug 2017,211.9
Sep 2017,222.4
Oct 2017,222.9
Nov 2017,226
Dec 2017,221.7
Jan 2018,233.8
Feb 2018,233.9
Mar 2018,229.2
Apr 2018,226.3
May 2018,251.1
Jun 2018,255.5
Jul 2018,241.3
Aug 2018,245.8
Sep 2018,247.3
Oct 2018,246.4
Nov 2018,259.1
Dec 2018,258
Jan 2019,246.9
Feb 2019,268.2
Mar 2019,268.9
Apr 2019,268.4
May 2019,278
Jun 2019,264.9
Jul 2019,273.7
Aug 2019,285.1
Sep 2019,287.3
Oct 2019,279.5
Nov 2019,284.2
Dec 2019,290
Jan 2020,316.1
Feb 2020,296.4
Mar 2020,318.6
Apr 2020,283.7
May 2020,297
Jun 2020,293.2
Jul 2020,306
Aug 2020,292.5
Sep 2020,300.3
Oct 2020,316.2
Nov 2020,314.2
Dec 2020,311.7
